0	1	2
80	82	4
81	82	1
46	83	8
49	83	9
53	83	8
67	83	8
69	83	2
73	83	8
81	83	2
3	84	5
5	84	8
10	84	6
24	84	1
49	84	2
52	84	5
74	84	5
81	84	7
83	84	3
6	85	1
12	85	5
14	85	6
26	85	5
31	85	3
38	85	5
43	85	6
80	85	1
44	86	6
48	86	8
53	86	2
57	86	6
66	86	6
75	86	6
80	86	2
17	87	7
20	87	6
24	87	1
56	87	5
62	87	5
65	87	6
86	87	1
46	88	8
49	88	8
53	88	8
58	88	2
67	88	8
69	88	2
73	88	8
83	88	9
1	89	8
25	89	8
33	89	8
37	89	8
45	89	8
55	89	1
88	89	1
0	90	2
5	90	2
8	90	1
11	90	6
23	90	2
24	90	5
28	90	5
50	90	5
69	90	5
29	91	2
44	91	6
48	91	6
57	91	6
66	91	6
69	91	1
80	91	4
86	91	7
15	92	2
35	92	1
48	92	6
57	92	6
61	92	1
66	92	6
75	92	6
86	92	6
91	92	6
0	93	7
4	93	7
9	93	7
16	93	7
23	93	7
41	93	7
80	93	3
82	93	2
91	93	2
19	94	7
29	94	9
30	94	8
34	94	2
35	94	8
55	94	7
79	94	8
80	94	4
82	94	4
17	95	5
27	95	6
37	95	1
56	95	6
62	95	7
69	95	2
70	95	7
76	95	6
87	95	5
17	96	6
20	96	6
27	96	5
48	96	1
56	96	5
65	96	7
76	96	5
87	96	6
5	97	3
11	97	2
58	97	3
59	97	3
63	97	4
86	97	1
5	98	7
10	98	6
40	98	5
48	98	1
52	98	5
77	98	1
81	98	6
84	98	6
97	98	2
14	99	4
18	99	6
31	99	7
34	99	6
54	99	7
61	99	6
71	99	7
85	99	3
89	99	1
2	100	6
6	100	6
13	100	6
15	100	6
32	100	7
39	100	7
47	100	7
64	100	6
82	100	2
99	100	1
1	101	1
19	101	7
29	101	7
30	101	7
35	101	7
51	101	1
55	101	7
58	101	1
79	101	7
94	101	7
3	102	5
10	102	5
40	102	7
52	102	6
72	102	7
74	102	6
98	102	5
100	102	1
1	103	8
25	103	8
33	103	8
37	103	8
45	103	8
70	103	1
89	103	8
102	103	1
0	104	7
4	104	7
9	104	7
11	104	1
16	104	8
23	104	7
41	104	8
67	104	4
72	104	1
87	104	1
93	104	7
1	105	8
25	105	8
33	105	8
37	105	9
45	105	9
62	105	2
80	105	2
89	105	8
103	105	8
2	106	6
6	106	6
13	106	7
15	106	7
25	106	1
32	106	6
39	106	6
56	106	1
60	106	7
64	106	6
92	106	2
5	107	5
10	107	7
40	107	5
72	107	5
75	107	1
81	107	7
84	107	5
88	107	1
98	107	7
102	107	5
4	108	2
7	108	7
9	108	3
21	108	7
22	108	8
51	108	7
68	108	7
77	108	7
78	108	7
1	109	8
25	109	8
30	109	2
33	109	8
37	109	8
45	109	8
63	109	1
79	109	2
89	109	8
103	109	8
105	109	8
13	110	1
24	110	1
46	110	8
49	110	8
53	110	8
67	110	8
73	110	8
80	110	1
83	110	8
88	110	8
7	111	7
8	111	7
21	111	8
23	111	2
46	111	2
51	111	7
64	111	1
68	111	7
77	111	7
78	111	8
108	111	7
44	112	5
52	112	1
57	112	5
63	112	2
66	112	5
75	112	5
91	112	5
92	112	5
96	112	1
97	112	2
17	113	6
20	113	7
28	113	1
59	113	2
65	113	6
70	113	5
76	113	6
87	113	6
95	113	5
96	113	6
15	114	1
46	114	8
49	114	8
53	114	8
58	114	2
67	114	9
73	114	8
83	114	8
88	114	9
104	114	2
110	114	8
